Name,Address,Rating,Total Reviews,Latitude,Longitude,Place ID,Image File
Broadway - Pizza Bukhari,"Q3Q4+2R9, Plot 20-C Chota Khayaban-e-Bukhari, Saba Avenue, D.H.A Phase 6 Phase 6 Defence Housing Authority, Karachi",4.5,2444,24.7861888,67.0576182,ChIJUSDcX908sz4RsKdRly0CAbo,restaurant_images/ChIJUSDcX908sz4RsKdRly0CAbo.jpg
Junis Restaurant and Caf?,"1C, Sahil Commercial Street 6, D.H.A Phase 8, Defence Housing Authority, Phase 8 EXT, 8, Phase E-8, Karachi",4,377,24.7619381,67.0660167,ChIJo0gK814jsz4RFB4Yti6LEDg,restaurant_images/ChIJo0gK814jsz4RFB4Yti6LEDg.jpg
JaniferSpa,"front of cafe valintano, 6 Sahil Street 2, phase Defence Housing Authority, Karachi",,,24.7751284,67.054031,ChIJh2SVf8w9sz4RpcJXQ1NVkYc,restaurant_images/ChIJh2SVf8w9sz4RpcJXQ1NVkYc.jpg
Cafe al Medina Hotel,"plot 272, 38 Khayaban-e-Ghalib, D.H.A. Phase 8 Zone B Phase 8 Defence Housing Authority, Karachi",,,24.7705293,67.06693,ChIJfSd2LgA9sz4RZpbNejxvOu8,restaurant_images/ChIJfSd2LgA9sz4RZpbNejxvOu8.jpg
Clock Tower - The Food Bazaar,"Plot 3b Abdul Sattar Edhi Avenue, Karachi",4.2,10691,24.7783353,67.0541842,ChIJI-kfNYg9sz4R5UOz90gHBUc,restaurant_images/ChIJI-kfNYg9sz4R5UOz90gHBUc.jpg
Al Makkah hotel & fast food,"Shop 1, street 1, 6 Sea View Road, Phase Muslim Commercial Area Defence Housing Authority, Karachi",5,3,24.7794334,67.0545352,ChIJwZsWPgA9sz4RtKbyz9exL50,restaurant_images/ChIJwZsWPgA9sz4RtKbyz9exL50.jpg
k2k Cafe,"Plot # 55 C, Khayaban-e-Ittehad Road, 6 ?? ??? ?? ??? Muslim Commercial Area Phase 6 ????? ?????? ???????, ?????",3.8,29,24.7794699,67.0551091,ChIJEVkkots8sz4RFWe8fHt6UkI,restaurant_images/ChIJEVkkots8sz4RFWe8fHt6UkI.jpg
McDonald's - DHA Phase 8,"316, DHA Karachi Phase VIII Zone D Zone D Phase 8 Defence Housing Authority, Karachi",4.1,421,24.7596672,67.0723925,ChIJnV4zlNEjsz4RuWPqxTQU5-I,restaurant_images/ChIJnV4zlNEjsz4RuWPqxTQU5-I.jpg
Al Rehman Fast Food,"Q3J3+526, Sea View Road, D.H.A Phase 6 Phase 6 Defence Housing Authority, Karachi",4.4,9,24.7804112,67.0525212,ChIJ-Q-2JgA9sz4Rr4NzYsiuvsM,restaurant_images/ChIJ-Q-2JgA9sz4Rr4NzYsiuvsM.jpg
Norway Kitchen,"143 N Sahil Street 1, Muslim Commercial Area Phase 6 Defence Housing Authority, Karachi",4.6,13,24.780171,67.055141,ChIJa22qFQA9sz4RRu_B7upC8g0,restaurant_images/ChIJa22qFQA9sz4RRu_B7upC8g0.jpg
